BMSid,MESSAGE,Module,Type,_Parent_ Class,Name,Detailed changes,Changed by,Change date
6569,CatalogueItemNotification,AlcoholInformationModule,ATTRIBUTE,AlcoholInformation,alcoholicBeverageColourCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6570,CatalogueItemNotification,AlcoholInformationModule,ATTRIBUTE,AlcoholInformation,bitternessOfBeerMeasurement,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6571,CatalogueItemNotification,AlcoholInformationModule,ATTRIBUTE,AlcoholInformation,bitternessOfBeerMeasurement/@codeListVersion,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6572,CatalogueItemNotification,AlcoholInformationModule,ATTRIBUTE,AlcoholInformation,originOfWineCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6573,CatalogueItemNotification,AlcoholInformationModule,ATTRIBUTE,AlcoholInformation,percentageOfAlcoholByVolumeMeasurementPrecisionCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6574,CatalogueItemNotification,AlcoholInformationModule,ATTRIBUTE,AlcoholInformation,sweetnessLevelOfAlcoholicBeverageCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6575,CatalogueItemNotification,FarmingAndProcessingInformationModule,ATTRIBUTE,TradeItemFarmingAndProcessing,bioengineeredDeclarationClaimCode,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6576,CatalogueItemNotification,FarmingAndProcessingInformationModule,ATTRIBUTE,TradeItemFarmingAndProcessing,isBioengineeredDeclarationClaimRelevantDataProvided,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6577,CatalogueItemNotification,FoodandBeverageIngredientModule,ATTRIBUTE,IngredientFarmingProcessing,bioengineeredDeclarationClaimCode,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6578,CatalogueItemNotification,FoodandBeverageIngredientModule,ATTRIBUTE,IngredientFarmingProcessing,isBioengineeredDeclarationClaimRelevantDataProvided,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6579,CatalogueItemNotification,FoodAndBeveragePropertiesInformationModule,ATTRIBUTE,MicrobiologicalInformation,microbiologicalOrganismMethodOfAnalysisCode,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6580,CatalogueItemNotification,FoodAndBeveragePropertiesInformationModule,ATTRIBUTE,MicrobiologicalInformation,microbiologicalOrganismMinimumValue,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6581,CatalogueItemNotification,FoodAndBeveragePropertiesInformationModule,ATTRIBUTE,MicrobiologicalInformation,microbiologicalOrganismMinimumValue/@measurementUnitCode,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6582,CatalogueItemNotification,MarketingInformationModule,CLASS,MarketingInformation,BasicTasteInformation,3.1.17 added new class ,Maryam Mirza,2021-08-09 00:00:00
6583,CatalogueItemNotification,MarketingInformationModule,ATTRIBUTE,BasicTasteInformation,strongnessOfBasicTasteCode,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6584,CatalogueItemNotification,MarketingInformationModule,ATTRIBUTE,BasicTasteInformation,typeOfBasicTasteCode,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6585,CatalogueItemNotification,NutritionalInformationModule,ATTRIBUTE,NutrientDetail,isNutrientOnFrontOfPackage,3.1.17 added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6586,CatalogueItemNotification,ProductInformationModule,CLASS,ApparelInformationDetail,ApparelDetail,3.1.17 Added new class,Maryam Mirza,2021-08-09 00:00:00
6587,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelDetail,apparelDetailApplicationCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6588,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelDetail,apparelDetailPlacementCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6589,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelDetail,apparelDetailSizeCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6590,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelDetail,apparelDetailTypeCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6591,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelProductInformation,neckwearTypeCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6592,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelProductInformation,pantsShortsTypeCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6593,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelProductInformation,skirtTypeCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6594,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelProductInformation,sweaterPulloverTypeCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6595,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelProductInformation,waistbandTypeCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6596,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ApparelProductInformation,waistRiseCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
6597,CatalogueItemNotification,ProductInformationModule,ATTRIBUTE,ProductInformationDetail,dispenserTypeCode,3.1.17 Added new attribute ,Maryam Mirza,2021-08-09 00:00:00
